,latinamerica_spanish,latinamerica_spanish_scores,latinamerica_spanish_recomendacion,Andrea,Felipe_latinamerica_spanish,Acuerdo_latinamerica_spanish,europe_spanish,europe_spanish_scores,europe_spanish_recomendacion,Andrea,Felipe_europe_spanish,Acuerdo_europe_spanish,northamerica_english,northamerica_english_scores,northamerica_english_recomendacion,Andrea,Felipe_northamerica_english,Acuerdo_northamerica_english,europe_english,europe_english_scores,europe_english_recomendacion,Andrea,Felipe_europe_english,Acuerdo_europe_english,asia_english,asia_english_scores,asia_english_recomendacion,Andrea,Felipe_asia_english,Acuerdo_asia_english,full_spanish,full_spanish_scores,full_spanish_recomendacion,Andrea,Felipe_full_spanish,Acuerdo_full_spanish,full_english,full_english_scores,full_english_recomendacion,Andrea,Felipe_full_english,Acuerdo_full_english,Término Central
30,desarrollador,0.3409421444,-,Third party,Third party,Third party,estadounidenses,0.3944908381,['Third party<--usuarios'],Third party,Third party,Third party,collected,0.3563454747,"['Data collection, handling and/or storage<--information', 'Data collection, handling and/or storage<--users']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",abused,0.2950342,-,Privacy & security risks,Privacy & security risks,Privacy & security risks,settlement,0.2811344266,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,analytica,0.3029357195,"['Companies and Organizations<--empresa', 'Companies and Organizations<--usuarios']",Companies,Companies,Companies,platform,0.4007441998,"['Data collection, handling and/or storage<--company', 'Data collection, handling and/or storage<--users']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",Usuarios
31,usan,0.3404180408,"['Data collection, handling and/or storage<--informacion', 'Action<--usuarios']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",europeos,0.3920419514,-,Third party,Third party,Third party,sites,0.3533530831,"['Data collection, handling and/or storage<--users']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",accounts,0.292830348,['Data & Information<--users'],Data & Information,Data & Information,Data & Information,population,0.2791144252,-,Users,Users,Users,sensible,0.3019293845,"['Undetermined<--empresa', 'Undetermined<--usuarios']",Undetermined,Undetermined,Undetermined,americans,0.4004783332,['Third party<--users'],Third party,Third party,Third party,Usuarios
32,asegura,0.3395507932,-,Privacy & security terms,Privacy & security terms,Privacy & security terms,filtracion,0.3918251395,-,Privacy & security risks,Privacy & security risks,Privacy & security risks,consent,0.3520850241,"['Ownership agency<--information', 'Ownership agency<--users', 'Ownership agency<--privacy']",Ownership agency,Ownership agency,Ownership agency,private,0.2901439071,"['Attribute or characteristic<--information', 'Attribute or characteristic<--users', 'Synonymous<--privacy']",Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,southeast,0.2790517211,-,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,prevenir,0.3015773594,['Ownership agency<--usuarios'],Ownership agency,Ownership agency,Ownership agency,sites,0.3953493237,"['Data collection, handling and/or storage<--users']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",Usuarios
33,masiva,0.338119626,-,Undetermined,Undetermined,Undetermined,sancion,0.3917491436,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,minors,0.3513717055,-,Undetermined,Undetermined,Undetermined,gdpr,0.2880885005,"['Regulation<--privacidad', 'Regulation<--privacy']",Regulation,Regulation,Regulation,accessed,0.2782860398,-,"Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",confidenciales,0.2996943295,['Attribute or characteristic<--usuarios'],Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,info,0.3942915797,"['Synonymous<--informacion', 'Synonymous<--information', 'Data & Information<--users']",Data & Information,Data & Information,Data & Information,Usuarios
34,personal,0.3366058469,"['Attribute or characteristic<--company', 'Attribute or characteristic<--informacion', 'Attribute or characteristic<--information', 'Attribute or characteristic<--users', 'Attribute or characteristic<--privacy']",Privacy & security terms,Privacy & security terms,Privacy & security terms,britanica,0.3903443217,['Attribute or characteristic<--empresa'],Third party,Third party,Third party,opt,0.3481991291,"['Ownership agency<--information', 'Ownership agency<--users', 'Ownership agency<--privacy']",Ownership agency,Ownership agency,Ownership agency,servers,0.2870734334,-,"Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",onavo,0.2767594755,-,Companies,Companies,Companies,cambridgeanalytica,0.2989687622,['Companies and Organizations<--usuarios'],Companies,Companies,Companies,breach,0.3927251697,['Privacy & security risks<--users'],Privacy & security risks,Privacy & security risks,Privacy & security risks,Usuarios
35,admite,0.3358100057,-,Action,Action,Action,valen,0.3902787566,-,Undetermined,Undetermined,Undetermined,collect,0.3471489847,-,"Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",biometric,0.2866852283,-,Security mechanisms,Security mechanisms,Security mechanisms,breached,0.2765407562,-,Privacy & security risks,Privacy & security risks,Privacy & security risks,publicitarios,0.2978846133,['Undetermined<--usuarios'],Undetermined,Undetermined,Undetermined,company,0.3873237669,['Companies and Organizations<--users'],Companies,Companies,Companies,Usuarios
36,anunciantes,0.3326807022,['Companies and Organizations<--usuarios'],Companies,Companies,Companies,aficionados,0.388887614,-,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,facebooks,0.3431962132,"['Companies and Organizations<--company', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,google,0.2839564383,-,Companies,Companies,Companies,profit,0.2755437493,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,estadounidenses,0.2973362803,['Third party<--usuarios'],Third party,Third party,Third party,whatsapp,0.3871684968,['Companies and Organizations<--users'],Companies,Companies,Companies,Usuarios
37,privados,0.3322473168,"['Attribute or characteristic<--informacion', 'Attribute or characteristic<--usuarios']",Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,hackeo,0.3866025507,-,Privacy & security risks,Privacy & security risks,Privacy & security risks,device,0.3428812027,-,"Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",annually,0.2835169137,-,Undetermined,Undetermined,Undetermined,admitted,0.273753196,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,usarios,0.2969196141,['Synonymous<--usuarios'],Synonymous,Synonymous,Synonymous,access,0.3850501776,"['Data collection, handling and/or storage<--information', 'Data collection, handling and/or storage<--users']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",Usuarios
38,prevenir,0.3270357549,['Ownership agency<--usuarios'],Ownership agency,Ownership agency,Ownership agency,recoleccion,0.3853391707,-,"Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",third,0.3423238397,-,Third party,Third party,Third party,bug,0.2825888395,-,Privacy & security risks,Privacy & security risks,Privacy & security risks,clients,0.2733843625,-,Users,Users,Users,anunciantes,0.296177417,['Companies and Organizations<--usuarios'],Companies,Companies,Companies,websites,0.3818180561,"['Data collection, handling and/or storage<--users']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",Usuarios
39,procedimientos,0.3253822327,-,Action,Action,Action,privados,0.3843530118,"['Attribute or characteristic<--informacion', 'Attribute or characteristic<--usuarios']",Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,patients,0.3406635821,-,Users,Users,Users,adverts,0.2819019556,-,Action,Action,Action,monetize,0.2710385919,-,Action,Action,Action,evitar,0.2941778302,['Ownership agency<--usuarios'],Ownership agency,Ownership agency,Ownership agency,developers,0.3796634078,['Third party<--users'],Third party,Third party,Third party,Usuarios
40,fuga,0.3250948191,-,,,,multas,0.3825604916,-,,,,breaches,0.3395385444,-,,,,browsing,0.2804601192,-,,,,affecting,0.2702260017,-,,,,millones,0.2933552861,-,,,,settings,0.37911883,-,,,,
41,reconoce,0.3209131062,-,,,,militares,0.3820422888,-,,,,others,0.339499265,['Third party<--users'],,,,audits,0.2796854675,-,,,,download,0.2693918943,-,,,,consentimiento,0.290974766,['Ownership agency<--informacion'],,,,europeans,0.3782804608,-,,,,
42,miles,0.3195203543,-,,,,reclaman,0.3810449839,-,,,,canadians,0.3367198408,-,,,,consent,0.2794427276,"['Ownership agency<--information', 'Ownership agency<--users', 'Ownership agency<--privacy']",,,,notify,0.2683443427,-,,,,consumidores,0.2909135818,-,,,,consumer,0.3774254918,['Users<--privacy'],,,,
43,permitieron,0.3195149302,-,,,,reducido,0.3809242845,-,,,,revenue,0.3365420401,-,,,,app,0.2775362134,"['Data collection, handling and/or storage<--company', 'Data collection, handling and/or storage<--users']",,,,recover,0.2656767964,-,,,,cuya,0.2892510593,-,,,,collect,0.3763670325,-,,,,
44,acceder,0.3187968135,-,,,,sube,0.3797954917,-,,,,trackers,0.3330591917,-,,,,malicious,0.275385946,-,,,,outsiders,0.2650558949,-,,,,dispositivos,0.2891164422,-,,,,extensions,0.3747436404,-,,,,
45,sus,0.3181690276,-,,,,comisioneuropea,0.3774293661,-,,,,permissions,0.3317590654,['Ownership agency<--users'],,,,sensitive,0.2752045989,['Attribute or characteristic<--information'],,,,leanings,0.264377147,-,,,,europeos,0.2883315384,-,,,,profile,0.3736247122,['Data & Information<--information'],,,,
46,euros,0.3177652955,-,,,,masiva,0.3771978617,-,,,,defaults,0.3310287595,-,,,,profits,0.2732151449,-,,,,subscription,0.2636913955,-,,,,internautas,0.2877681851,-,,,,sensitive,0.3716523051,['Attribute or characteristic<--information'],,,,
47,afirma,0.3172124624,-,,,,politicos,0.3740400672,-,,,,breached,0.3297389746,-,,,,authorities,0.2730541825,-,,,,adversely,0.2631293535,-,,,,posibles,0.2842060328,-,,,,customer,0.3711708188,-,,,,
48,eleva,0.3162536323,-,,,,ilegal,0.3733938932,['Privacy & security risks<--usuarios'],,,,account,0.3294482529,-,,,,companies,0.2720970511,"['Synonymous<--company', 'Companies and Organizations<--information', 'Companies and Organizations<--users', 'Companies and Organizations<--privacy']",,,,scraping,0.2631132007,-,,,,indebida,0.2833711505,-,,,,minors,0.370041132,-,,,,
49,obtienen,0.3151660562,-,,,,fabricantes,0.3728121817,-,,,,sharing,0.3285554051,['Action<--privacy'],,,,consumer,0.2689466476,['Users<--privacy'],,,,scraped,0.2625450492,-,,,,senalo,0.2827810049,-,,,,indians,0.3655340075,-,,,,
50,robar,0.3151583076,-,,,,cedio,0.3719220161,-,,,,usage,0.3283714652,"['Action<--users', 'Data collection, handling and/or storage<--privacy']",,,,information,0.2688982189,"['Data & Information<--company', 'Data & Information<--users']",,,,preventive,0.2616884112,-,,,,destina,0.2809044123,-,,,,parties,0.3650016189,-,,,,
51,votantes,0.3130936921,['Third party<--usuarios'],,,,compartido,0.3716381788,-,,,,breach,0.3265824914,['Privacy & security risks<--users'],,,,jurisdiction,0.2683816552,-,,,,localblox,0.2608159781,-,,,,ganancias,0.2793884277,-,,,,advertiser,0.3646371961,-,,,,
52,afectados,0.312974453,-,,,,personales,0.3696580827,"['Attribute or characteristic<--informacion', 'Attribute or characteristic<--usuarios']",,,,citizens,0.3256630301,['Users<--users'],,,,sites,0.26759547,"['Data collection, handling and/or storage<--users']",,,,facebooks,0.2601591945,"['Companies and Organizations<--company', 'Companies and Organizations<--privacy']",,,,miles,0.2784061134,-,,,,advertisements,0.3645916581,-,,,,
53,aplicacion,0.3123770952,-,,,,mensuales,0.3696145117,-,,,,settings,0.3249259591,-,,,,americans,0.2669333518,['Third party<--users'],,,,cuts,0.2598490715,-,,,,multas,0.2774269581,-,,,,also,0.3643635511,"['Undetermined<--company', 'Undetermined<--information']",,,,
54,autorizada,0.3123351038,['Ownership agency<--usuarios'],,,,cuentas,0.3689937294,-,,,,websites,0.3243270516,"['Data collection, handling and/or storage<--users']",,,,improperly,0.266299367,-,,,,harvested,0.2585793436,-,,,,vendieron,0.2751549482,-,,,,account,0.3636946082,-,,,,
55,filtrados,0.3113081753,-,,,,filtraciones,0.3658828139,-,,,,platforms,0.323767066,"['Data collection, handling and/or storage<--company']",,,,collected,0.2652991414,"['Data collection, handling and/or storage<--information', 'Data collection, handling and/or storage<--users']",,,,hackers,0.258274138,-,,,,admite,0.272480607,-,,,,filipinos,0.3621666431,-,,,,
56,sino,0.3107650876,-,,,,alexa,0.365530014,-,,,,online,0.3235435486,-,,,,misused,0.2650716603,-,,,,atop,0.2581115365,-,,,,obtuvo,0.2723127604,-,,,,breaches,0.3603240848,-,,,,
57,robado,0.3098917603,-,,,,dolares,0.3651863635,-,,,,parties,0.3219789267,-,,,,inc,0.26489079,-,,,,nevertheless,0.2574573755,-,,,,publicos,0.2719888687,-,,,,ppls,0.3578080535,-,,,,
58,firma,0.3098569512,['Synonymous<--empresa'],,,,averigua,0.3649140894,-,,,,google,0.3215544224,-,,,,regulations,0.2644560039,-,,,,opt,0.2574167252,"['Ownership agency<--information', 'Ownership agency<--users', 'Ownership agency<--privacy']",,,,permitio,0.2717695236,-,,,,browsing,0.3570937514,-,,,,
59,indebida,0.3075904548,-,,,,misdatossonmios,0.3644783199,-,,,,access,0.3210932612,"['Data collection, handling and/or storage<--information', 'Data collection, handling and/or storage<--users']",,,,collects,0.2639540434,-,,,,bug,0.2558549047,-,,,,filtrados,0.2691329122,-,,,,ads,0.3568117321,-,,,,
60,usuario,0.3075514436,['Synonymous<--usuarios'],,,,acceso,0.3644456863,-,,,,transparent,0.3181951046,-,,,,agreements,0.2626315951,-,,,,potentially,0.2552523017,-,,,,espanoles,0.2682873905,-,,,,device,0.3564694524,-,,,,
61,datospersonales,0.3054926991,['Data & Information<--privacidad'],,,,asumir,0.3616727591,-,,,,tos,0.3171436191,['Regulation<--privacy'],,,,protections,0.2613216639,-,,,,instantly,0.2537334859,-,,,,recabo,0.2681336105,-,,,,researchers,0.3532636166,-,,,,
62,filtraron,0.3050428033,-,,,,usados,0.3606200516,-,,,,harvesting,0.315412432,-,,,,illegally,0.2612413168,-,,,,rather,0.2536980212,-,,,,respecto,0.267285347,-,,,,google,0.3523790836,-,,,,
63,extraer,0.3050067127,-,,,,haberse,0.3597435951,-,,,,everyone,0.3153508604,-,,,,whatsapp,0.2600346804,['Companies and Organizations<--users'],,,,targeted,0.2529975772,-,,,,test,0.2660939395,-,,,,platforms,0.3507190049,"['Data collection, handling and/or storage<--company']",,,,
64,intercambio,0.3050013483,-,,,,servidores,0.3586477339,-,,,,ads,0.3151165247,-,,,,accessed,0.2597123384,-,,,,websites,0.2528626919,"['Data collection, handling and/or storage<--users']",,,,personal,0.2645724714,"['Attribute or characteristic<--company', 'Attribute or characteristic<--informacion', 'Attribute or characteristic<--information', 'Attribute or characteristic<--users', 'Attribute or characteristic<--privacy']",,,,public,0.3500777483,-,,,,
65,privada,0.3043513596,['Attribute or characteristic<--informacion'],,,,tarjetas,0.3573896885,-,,,,us,0.314248085,-,,,,fees,0.2594961822,-,,,,mau,0.2521119118,-,,,,privadas,0.2642604709,-,,,,profit,0.3495515883,-,,,,
66,leyenda,0.3033561707,-,,,,localizacion,0.3568427563,-,,,,monetize,0.3134667277,-,,,,permission,0.2593970597,['Ownership agency<--information'],,,,discontinue,0.2519633472,-,,,,progresivo,0.2629457116,-,,,,sharing,0.3489114344,['Action<--privacy'],,,,
67,filtrada,0.3030894101,-,,,,admiten,0.3552794158,-,,,,whatsapp,0.3131710887,['Companies and Organizations<--users'],,,,controller,0.2592682838,-,,,,leaked,0.2516207695,-,,,,recolectaba,0.2624623775,-,,,,facebooks,0.3483107388,"['Companies and Organizations<--company', 'Companies and Organizations<--privacy']",,,,
68,fabricantes,0.3020643592,-,,,,reconocido,0.3545731902,-,,,,accessed,0.312992543,-,,,,mined,0.2573542595,-,,,,stole,0.2516106367,-,,,,externa,0.2623386979,-,,,,advertising,0.3482191563,-,,,,
69,compartida,0.3006744385,-,,,,afectados,0.354442358,-,,,,identifiable,0.3119603992,-,,,,options,0.2550775409,-,,,,necessarily,0.2501968145,-,,,,venderian,0.2613260448,-,,,,online,0.3475533128,-,,,,
70,empleada,0.3001971841,-,,,,ciudadanos,0.353548795,['Users<--usuarios'],,,,customer,0.3094772398,-,,,,customer,0.2540629208,-,,,,received,0.2500500679,-,,,,debido,0.2606469393,-,,,,subscriber,0.347497493,-,,,,
71,recabo,0.2995996475,-,,,,indebido,0.3535348475,-,,,,option,0.3093596101,-,,,,profit,0.2530085444,-,,,,control,0.2497830391,-,,,,sancion,0.260311991,-,,,,patients,0.3468373716,-,,,,
72,parental,0.2977943718,-,,,,genera,0.3521891832,-,,,,retain,0.3078241646,-,,,,harvested,0.2527813911,-,,,,misused,0.2496337742,-,,,,equifax,0.2593556046,-,,,,third,0.3430869579,-,,,,
73,irregular,0.2967936397,-,,,,tomara,0.3515204787,-,,,,visitors,0.3077892065,-,,,,fines,0.2527281046,"['Undetermined<--informacion', 'Undetermined<--usuarios']",,,,prosyscom,0.2488646209,-,,,,accediera,0.2592743635,-,,,,contacts,0.3419531584,['Data & Information<--information'],,,,
74,haberse,0.296671927,-,,,,reino,0.3511013091,-,,,,public,0.3076579571,-,,,,breached,0.2521399856,-,,,,tremendous,0.2473921776,-,,,,mitigar,0.2588704824,-,,,,site,0.34150967,"['Data collection, handling and/or storage<--company']",,,,
75,obtenidos,0.2956867814,"['Data collection, handling and/or storage<--usuarios']",,,,masivo,0.3510469794,-,,,,researchers,0.3075590134,-,,,,cookies,0.252011776,"['Data collection, handling and/or storage<--privacidad']",,,,mined,0.2457366735,-,,,,cifrar,0.2582134306,-,,,,personaldata,0.3408145607,"['Data & Information<--information', 'Data & Information<--privacy']",,,,
76,europeos,0.2942188382,-,,,,estatus,0.3505479693,-,,,,feature,0.3055148721,-,,,,anonymized,0.251743108,-,,,,subjects,0.245175153,-,,,,compartida,0.2573595643,-,,,,service,0.340578407,['Action<--company'],,,,
77,preferencias,0.2931964397,-,,,,utilizado,0.3505071998,-,,,,advertising,0.3032149971,-,,,,recipients,0.251737833,-,,,,collect,0.244781062,-,,,,robado,0.2571859956,-,,,,breached,0.3396903276,-,,,,
78,indiscriminada,0.2925478816,-,,,,acorde,0.3500391245,-,,,,site,0.3024523258,"['Data collection, handling and/or storage<--company']",,,,legislation,0.251731962,-,,,,donations,0.2446612716,-,,,,empleada,0.2570080161,-,,,,scraping,0.339590013,-,,,,
79,sido,0.2921581268,-,,,,usan,0.3476921618,"['Data collection, handling and/or storage<--informacion', 'Action<--usuarios']",,,,login,0.3010593653,-,,,,gyroscope,0.2517294884,-,,,,dollars,0.2444012761,-,,,,aplicacion,0.2563211918,-,,,,anonymized,0.3391757011,-,,,,
80,mails,0.2906997204,-,,,,filtro,0.3468488455,-,,,,nevadans,0.2992186844,-,,,,subjects,0.2516978085,-,,,,tool,0.2443771362,-,,,,vendida,0.2562893033,-,,,,terms,0.3389629126,-,,,,
81,habitos,0.2902169228,-,,,,webs,0.3457615376,-,,,,product,0.2978615761,['Undetermined<--company'],,,,breach,0.2503620386,['Privacy & security risks<--users'],,,,update,0.2440755069,-,,,,decenas,0.2560398579,-,,,,shared,0.3385287523,-,,,,
82,acusado,0.2900059223,-,,,,afectado,0.3456790447,-,,,,ppls,0.2965611517,-,,,,policies,0.2497982085,-,,,,scanned,0.2436906844,-,,,,recopilo,0.2552497089,-,,,,us,0.3377253115,-,,,,
83,robada,0.2893389165,-,,,,sufrido,0.3451862335,-,,,,service,0.2958025336,['Action<--company'],,,,vpn,0.249539271,-,,,,identities,0.2436289191,-,,,,escandalo,0.2550729513,-,,,,encrypted,0.3375707865,-,,,,
84,compartidos,0.2890614271,-,,,,tratando,0.3451395333,-,,,,minimum,0.2936608195,-,,,,belgians,0.2487584352,-,,,,devices,0.2435106337,-,,,,via,0.2549881935,-,,,,everyone,0.3374761939,-,,,,
85,acusada,0.2881720662,-,,,,robo,0.3449019194,-,,,,may,0.2934344411,-,,,,button,0.2474298179,-,,,,obtain,0.2415488213,-,,,,recolecto,0.2543777823,-,,,,individual,0.3366048932,-,,,,
86,electores,0.2873719335,-,,,,facua,0.343618691,-,,,,vpn,0.2924104035,-,,,,tos,0.2470498532,['Regulation<--privacy'],,,,authorities,0.2415443957,-,,,,sus,0.254186064,-,,,,tos,0.3363302648,['Regulation<--privacy'],,,,
87,inapropiada,0.2870836854,-,,,,utilizados,0.3431102037,['Action<--usuarios'],,,,api,0.2919610143,-,,,,possible,0.2470365167,-,,,,compromising,0.2411093414,-,,,,electores,0.2535532713,-,,,,mined,0.3361249566,-,,,,
88,filtrado,0.2869870663,-,,,,deberian,0.3411034942,-,,,,ad,0.290799439,-,,,,shared,0.2469984889,-,,,,partnerships,0.2408460528,-,,,,vulneracion,0.2534319758,-,,,,canadians,0.3361201286,-,,,,
89,busqueda,0.2848481834,-,,,,dirian,0.3410292566,-,,,,marketers,0.2902339697,-,,,,subscription,0.2469963431,-,,,,raise,0.2398490608,-,,,,indebido,0.2514749765,-,,,,permission,0.3355701864,['Ownership agency<--information'],,,,
90,dolares,0.2846621871,-,,,,sido,0.3378092647,-,,,,invasive,0.2900958061,-,,,,laws,0.246684745,-,,,,shadow,0.2379125655,-,,,,consultora,0.2511755526,['Third party<--empresa'],,,,additional,0.3341562748,-,,,,
91,ofrecen,0.2844252586,-,,,,asegura,0.3375365138,-,,,,profit,0.2900000215,-,,,,collect,0.2464162707,-,,,,firefox,0.2378371656,-,,,,determinar,0.2509844899,['Action<--empresa'],,,,collection,0.3340478241,"['Data collection, handling and/or storage<--privacy']",,,,
92,incorrectamente,0.284203738,-,,,,compensacion,0.336329639,-,,,,harvested,0.2895045877,-,,,,manipulative,0.2462484986,-,,,,limit,0.2366849482,-,,,,confidencialidad,0.2507233918,"['Privacy & security terms<--informacion', 'Privacy & security terms<--privacidad']",,,,login,0.3329849541,-,,,,
93,robarse,0.2839794159,-,,,,compania,0.3362636268,['Synonymous<--empresa'],,,,notified,0.289493233,-,,,,invasive,0.2451806217,-,,,,stolen,0.2365941256,-,,,,mismos,0.2504398823,-,,,,acquired,0.331088841,-,,,,
94,recopilar,0.2832976878,-,,,,violar,0.3354648948,-,,,,permission,0.2892239094,['Ownership agency<--information'],,,,websites,0.2444913685,"['Data collection, handling and/or storage<--users']",,,,gathered,0.2358635217,-,,,,ficheros,0.2501514554,-,,,,revenue,0.3309607506,-,,,,
95,obtener,0.2820820808,['Action<--empresa'],,,,vendio,0.335280776,-,,,,controls,0.2887836993,-,,,,anyone,0.2438634932,-,,,,violating,0.2357217968,-,,,,recopilados,0.2496324182,-,,,,harvesting,0.3300450444,-,,,,
96,senalo,0.2816006541,-,,,,gasta,0.334353745,-,,,,friends,0.2879558504,-,,,,notification,0.2429918051,-,,,,vulnerable,0.2350278795,-,,,,acusada,0.2495601773,-,,,,harvested,0.3298652768,-,,,,
97,fines,0.2808522582,"['Undetermined<--informacion', 'Undetermined<--usuarios']",,,,anunciaba,0.3336113095,-,,,,collection,0.2873697877,"['Data collection, handling and/or storage<--privacy']",,,,company,0.2419492304,['Companies and Organizations<--users'],,,,lka,0.2350193858,-,,,,aplicaciones,0.2495326102,-,,,,potentially,0.3295965195,-,,,,
98,dado,0.2808025479,-,,,,recopilan,0.3332383931,-,,,,shared,0.2872945964,-,,,,use,0.2418301105,['Action<--users'],,,,mainly,0.2349542528,-,,,,cesion,0.2483721077,-,,,,userbase,0.3294829726,-,,,,
99,sensible,0.2801434696,"['Undetermined<--empresa', 'Undetermined<--usuarios']",,,,comprometidos,0.3330746889,-,,,,abused,0.2863642871,-,,,,designate,0.2412199825,-,,,,rogue,0.2337146252,-,,,,colombianos,0.2483249903,-,,,,content,0.3287663162,-,,,,
